Twinned,Orientation,Strain_level,Grain_size,Triple_points,Near_edge,T_SF1,T_SF2,T_SF3,T_SF4,T_SF5,T_SF6,S_SF1,S_SF2,S_SF3,Neighbor_grain_n,Max_B-b_m,Min_B-b_m,Mean_B-b_m,Max_B-t_m,Min_B-t_m,Mean_B-t_m,Max_Gbmisang,Min_Gbmisang,Mean_Gbmisang,Max_deltaGs,Min_deltaGs,Mean_deltaGs,Max_deltaBSF,Min_deltaBSF,Mean_deltaBSF
0,0,0.06,4.83 ,4,0,0.3354 ,0.3224 ,0.3092 ,0.2897 ,0.2339 ,0.1750 ,0.4090 ,0.3799 ,0.0291 ,4,0.9485 ,0.1301 ,0.5324 ,0.8337 ,0.0069 ,0.3216 ,40.09 ,16.39 ,28.27 ,4.83 ,1.27 ,2.63 ,-0.0280 ,-0.3096 ,-0.1678 
1,0,0.06,11.03 ,4,0,0.4221 ,0.4109 ,0.3973 ,0.3715 ,0.3635 ,0.3265 ,0.3526 ,0.2516 ,0.1010 ,3,0.9365 ,0.6096 ,0.7998 ,0.7069 ,0.0243 ,0.3317 ,29.53 ,16.89 ,21.68 ,47.78 ,-7.56 ,11.27 ,0.0807 ,-0.1259 ,0.0117 
1,0,0.06,7.78 ,5,0,0.4110 ,0.4047 ,0.3721 ,0.3559 ,0.3326 ,0.3101 ,0.3810 ,0.2323 ,0.1487 ,5,0.6014 ,0.0374 ,0.3416 ,0.7269 ,0.0158 ,0.3192 ,39.78 ,15.77 ,24.66 ,7.64 ,-2.95 ,2.19 ,0.0280 ,-0.2722 ,-0.1338 
1,0,0.06,9.38 ,5,1,0.4619 ,0.4596 ,0.4490 ,0.4457 ,0.4205 ,0.4149 ,0.2647 ,0.1481 ,0.1166 ,6,0.8198 ,0.0078 ,0.4748 ,0.8153 ,0.0328 ,0.3450 ,36.55 ,21.43 ,31.21 ,3.41 ,-5.58 ,-3.06 ,0.1986 ,-0.2421 ,0.0400 
1,0,0.06,31.13 ,6,1,0.4315 ,0.4205 ,0.4109 ,0.3880 ,0.3790 ,0.3451 ,0.3341 ,0.2405 ,0.0935 ,7,0.8246 ,0.0038 ,0.2516 ,0.8460 ,0.0132 ,0.3126 ,88.49 ,15.37 ,47.01 ,9.87 ,-25.73 ,-15.48 ,0.1422 ,-0.3042 ,-0.0440 
0,0,0.06,11.86 ,4,0,0.3038 ,0.2906 ,0.2227 ,0.1760 ,0.1606 ,0.1007 ,0.4763 ,0.3267 ,0.1496 ,4,0.6151 ,0.0482 ,0.3157 ,0.7677 ,0.0026 ,0.2579 ,86.51 ,34.75 ,50.99 ,19.27 ,-7.07 ,5.78 ,-0.0059 ,-0.2907 ,-0.1362 
1,0,0.06,11.82 ,5,1,0.2931 ,0.2755 ,0.2261 ,0.1822 ,0.1427 ,0.0812 ,0.4704 ,0.3532 ,0.1172 ,6,0.8905 ,0.4810 ,0.7389 ,0.8099 ,0.0184 ,0.3202 ,34.75 ,21.09 ,29.63 ,19.31 ,-8.76 ,0.09 ,0.0059 ,-0.1554 ,-0.0938 
1,0,0.06,9.67 ,8,0,0.4913 ,0.4910 ,0.4907 ,0.4899 ,0.4771 ,0.4760 ,0.1303 ,0.0702 ,0.0600 ,8,0.8580 ,0.1370 ,0.4785 ,0.9562 ,0.0107 ,0.3560 ,40.09 ,18.28 ,29.49 ,12.30 ,-4.83 ,0.77 ,0.2881 ,-0.0309 ,0.1765 
0,0,0.06,4.79 ,4,0,0.4118 ,0.4001 ,0.3829 ,0.3535 ,0.3474 ,0.3062 ,0.3701 ,0.2639 ,0.1062 ,4,0.8845 ,0.0297 ,0.5341 ,0.8018 ,0.0174 ,0.3188 ,80.80 ,26.22 ,43.67 ,18.05 ,7.04 ,10.65 ,0.1062 ,-0.1844 ,-0.0041 
1,0,0.06,13.82 ,7,0,0.4662 ,0.4621 ,0.4539 ,0.4476 ,0.4421 ,0.4153 ,0.2335 ,0.1992 ,0.0343 ,7,0.9493 ,0.4336 ,0.8246 ,0.7743 ,0.0654 ,0.3456 ,31.46 ,15.77 ,21.30 ,23.13 ,-6.03 ,2.77 ,0.2128 ,-0.1248 ,0.0266 
0,0,0.06,3.86 ,3,0,0.3858 ,0.3774 ,0.3625 ,0.3483 ,0.3172 ,0.2648 ,0.3640 ,0.3386 ,0.0255 ,3,0.2832 ,0.0044 ,0.1207 ,0.7216 ,0.0234 ,0.3071 ,43.74 ,31.32 ,36.91 ,7.91 ,2.54 ,5.39 ,0.0543 ,-0.2497 ,-0.0575 
